"","Yorumlar","Sentiment","Duygu"
"1","yassax kardeşim ysax",0.3,"Pozitif"
"2","",0,"Nötr"
"3","riot",0,"Nötr"
"4","galatasaray şampiyon olduktan gelenler",0.5,"Pozitif"
"5","son kısımda süleyman oğlunu görünce",0.2,"Pozitif"
"6","espor videosu çekerken araştırma yapıyor holyphoneix araştırmış",0.1,"Pozitif"
"7","gelecek oyunlarda quotoyunquot ismi tam tanımlayamıyor bunları",0.1,"Pozitif"
"8","spordur",0.3,"Pozitif"
"9","bütün hayallerimi kırdın valah fortnite sıralamaya girdim e sporcu olma hayalim vardı gitt valla 🩠",0.3,"Pozitif"
"10","kasımın inde tekrar izlerim",0.6,"Pozitif"
"11","sürekli ekrana baktığı göz rahasızlığı sürekli oturduğu omurga rahatsızlıkları sürekli bilgisayar basında oldukları anti sosyal yaşam tarzı sürekli oyun oynadıkları okul yaşantısındaki başarısızlıklar bunların tümü adına komik spor dediğiniz online oyunlar nasıl spor spor dememizi kim istiyor olmazsa hizmet etme bariş",-0.7,"Negatif"
"12","jung rep",0.2,"Pozitif"
"13","unutulmaz",0.3,"Pozitif"
"14","olum neysede hayvan",0,"Nötr"
"15","mükemmelliksin",0.3,"Pozitif"
"16","<a bizde niye yan tarafında yaşı yazsın ona karşımızdaki kim küfürleri kim ediyor öğrenelim yasaklar getirilsin",-0.2,"Negatif"
"17","legends because yasuo",0.1,"Pozitif"
"18","<a duygulandım 🠠 🐠❤️",0.6,"Pozitif"
"19","kere şeyin fazlası zarar zamanda şuanki bütün bankacı bilgisayar başındaki işlerdede bütün gün bilgisayar başındalar sporcular futbol oynarken sakatlanırız nasıl futbolu bırakmıyosa bunun espor versiyonu gözbozukluğu abartı closer oyuncu günde antreman yapıyo lig başladığı zaman oda tatil günlerinde yılın ayı oynuyor günde yan<br> işin zararı bağımlılığı abartı süreden bahsetmiyorum hiçbir şeye etki etmez önemli mutlu",-0.2,"Negatif"
"20","espordan güzel sporlar mesela futbol ensevdiğim spor dali",0.8,"Pozitif"
"21","oynayan oynatana saygı duyuyorum parayı nasıl buluyorsunuz yıl gameofsultan oynadım hala icra borcu ödüyorum",-0.3,"Negatif"
"22","<a şarkıyı duyunca oluyo sene önce baya lol oynuyodum bırakdım lvlken geriye dönüp oynamak istiyorum zevki vermiyo lol",0,"Nötr"
"23","ibuypowerın yaptığı şike pastanın çileği olurdu",0.2,"Pozitif"
"24","yıl karşıma çıktı n dan kobe",-0.4,"Negatif"
"25","sondaki konuşması gözümü doldurdu",0.3,"Pozitif"
"26","babama izlettim",0.3,"Pozitif"
"27","bunlar ameriganın oyunlar",-0.2,"Negatif"
"28","gob big in kaptanı",0.2,"Pozitif"
"29","lol",0.3,"Pozitif"
"30","adamsin bayiliyorum videolarina <br> gibilerin sayisi artar insallah",0.9,"Pozitif"
"31","nınını",0.3,"Pozitif"
"32","bizden oldı",0.3,"Pozitif"
"33","para kazanmasina kazaniyorlardir bunlar bilimden mahrum toplulul malesef dunyadan haberdar degillerdir gunde oyun oynamak nedir",-0.7,"Negatif"
"34","yanlış anlattın şunu",-0.6,"Negatif"
"35","counter strike global offensive🅮🅮<br>zula🅮🅮<br>league legends🅮🅮<br>wolfteam🅮🅮<br>pro evolotion soccer🅮🅮<br>fifa🅮🅮<br>grand theft auto🅮🅮<br>pubg🅮🅮<br>dota🅮🅮<br>call duty🅮🅮",0,"Nötr"
"36","günde tabikide arası değişiyo",0.1,"Pozitif"
"37","lol oynuyorum",0.7,"Pozitif"
"38","ordaki ejderhayı hala nasıl yapmışlar anlayamıyorum xd",0,"Nötr"
"39","espor katıl dım atıldım",0.4,"Pozitif"
"40","alaka aşırı şaşırttı güzel",0.9,"Pozitif"
"41","sporrr",0.3,"Pozitif"
"42","esporun gücü as bayrakları as ülke anlıyor e sporu e spor denince bön bön yüzümüze bakmıyacaklar",0.2,"Pozitif"
"43","sene corona geldi oyunu gardaşım",-0.1,"Negatif"
"44","ejderha lol un kadim ejderhası",-0.1,"Negatif"
"45","spordur hobiyle edebilecek spor türüdür",0.7,"Pozitif"
"46","azerbaycan geride kaldi beyler taş dövrundeyiz biz inşallah spor bitinince biz yeni baslicaz",0.5,"Pozitif"
"47","süper sonuna izleyenler ❤️🜰 <a <a",0.9,"Pozitif"
